car_model,year_of_make,car_age_years,mileage_km,primary_action,service_notes
Maruti Swift,2020.0,5.0,30150,Oil Change,"Regular 30k service for Maruti Swift. Oil and filter changed. Air filter looked dirty, replaced it as well. Customer reported rattling from dashboard. Could not replicate. Odometer: 30,150 km."
Hyundai Creta,2020.0,5.0,22000,Checkup,"Hyundai Creta came in for a checkup before a long trip. Mileage is around 22000 kms. All fluids topped up, tire pressure checked. No issues found."
Tata Nexon,2020.0,5.0,48500,Brake Replacement,"Customer complaint of grinding noise from front wheels on a Tata Nexon. Found worn out front brake pads. Replaced pads and resurfaced rotors. Vehicle has run 48,500 km."
Honda City,2020.0,5.0,19870,Oil Change,"Scheduled service for a 2021 Honda City. Odo reading 19,870. Engine oil and oil filter replaced. Cabin filter was also choked, replaced."
Kia Seltos,2020.0,5.0,55000,Battery Replacement,"Kia Seltos, 4 years old. Battery was dead. Replaced with new Amaron battery under warranty. Noted mileage at ~55,000 km."
Ford Ecosport,2020.0,5.0,65320,Sensor Replacement,"Ford Ecosport showing engine check light. Scanned and found faulty O2 sensor. Replaced sensor. Also performed oil service. 65,320 kms on the clock."
Toyota Innova,2020.0,5.0,89450,Oil Change,"Routine service for Toyota Innova. 89,450 km. Timing belt inspection done, looks okay for another 10k km. Changed oil, oil filter, and air filter."
Skoda Rapid,2020.0,5.0,75000,AC Service,"Skoda Rapid owner reported poor AC cooling. AC gas was low. Recharged AC system and checked for leaks. Found none. Mileage: 75,000 km."
Mahindra XUV500,2020.0,5.0,68210,Tire Repair,"Customer's Mahindra XUV500 had a tire puncture. Repaired tire. Also noted that two tires are nearing end of life. Advised customer. 68,210 km."
VW Polo,2020.0,5.0,51200,Brake Service,"VW Polo, 5-year service. Replaced spark plugs and engine oil. Brake fluid was also flushed and replaced. Odo: 51,200 km."
Maruti Dzire,2020.0,5.0,60000,Brake Replacement,"2018 Maruti Dzire. 60,000km service. Replaced front brake pads and cleaned rear brakes. Air and cabin filters changed."
Hyundai i20,2020.0,5.0,19500,Oil Change,"Hyundai i20 for its 3rd free service. Odo reading at 19,500. Standard oil change. Washed and vacuumed."
Tata Harrier,2020.0,5.0,55400,Suspension Repair,"Tata Harrier with suspension noise. Found worn lower arm bushes. Replaced bushes. Mileage is 55,400 kms."
Honda Amaze,2020.0,5.0,48000,Battery Replacement,"Honda Amaze came in with a dead battery. It's a 4 year old car. New battery installed. 48,000 km."
Renault Kwid,2020.0,5.0,10100,Checkup,"Renault Kwid, first service at 10,100 km. Just a general checkup and oil top-up. No parts changed."
Toyota Fortuner,2020.0,5.0,110000,Clutch Replacement,"Customer reported clutch feeling hard on his Toyota Fortuner. Mileage ~110,000 km. Clutch plate is worn. Replaced clutch assembly."
Jeep Compass,2020.0,5.0,45000,Wheel Alignment,"Jeep Compass, 45,000 km service. Replaced air filter, cabin filter, and engine oil. Also did wheel alignment and balancing."
Nissan Magnite,2020.0,5.0,35600,Engine Cleaning,"Nissan Magnite reporting low pickup. Cleaned throttle body and injectors. Problem solved. Odo: 35,600 km."
MG Hector,2020.0,5.0,40250,Tire Repair,"2019 MG Hector. Service due. Oil change performed. Customer also asked to check tires. Found a nail in one, repaired. 40,250 kms."
Skoda Kushaq,2020.0,5.0,25000,Checkup,"Skoda Kushaq. 25,000 km. Just a routine checkup. All good."
Maruti Baleno,2020.0,5.0,39800,Spark Plug Replacement,"Maruti Baleno. 4th service. Odo: 39,800. Replaced engine oil, filter, and spark plugs as per schedule."
Hyundai Venue,2020.0,5.0,20000,Accident Repair,Hyundai Venue for accidental repair. Replaced front bumper and right fender. Also did the pending 20k km service. Oil and filter changed.
Tata Punch,2020.0,5.0,9800,Checkup,"Tata Punch. First service done. 9,800 kms. No issues."
Honda WR-V,2020.0,5.0,52000,Brake Service,"Honda WR-V. Customer complained about brake shudder. Front rotors were warped. Skimmed rotors. 52,000 km."
Mahindra Thar,2020.0,5.0,30100,Suspension Repair,"Mahindra Thar. Off-roading damage. Checked underbody. Replaced bent tie rod. 30,100 kms."
VW Taigun,2020.0,5.0,15000,Oil Change,"VW Taigun. 15,000km service. Oil change and general inspection."
Toyota Glanza,2020.0,5.0,20000,Oil Change,"Toyota Glanza. 20,000 km service. Replaced cabin and air filters. Oil changed."
Kia Sonet,2020.0,5.0,33000,Brake Check,"Kia Sonet. 33,000 km. Customer asked for brake check. Pads are at 50%. No change needed."
Ford Figo,2020.0,5.0,70000,Timing Belt Replacement,"Ford Figo. 70,000 km. Replaced timing belt as a preventive measure. Major service."
Hyundai Alcazar,2020.0,5.0,28000,Checkup,"Hyundai Alcazar. 28,000 km. Standard service."
Maruti Ciaz,2020.0,5.0,80000,Transmission Service,"Maruti Ciaz. 80,000 km service. Replaced engine oil, all filters. Also changed transmission fluid."
Tata Altroz,2020.0,5.0,18000,Checkup,"Tata Altroz. 18,000 km. Checkup. No problems."
Honda Jazz,2020.0,5.0,65000,Tire Replacement,"Honda Jazz. 6 years old. 65,000 km. Replaced battery and all four tires."
Mahindra Scorpio,2020.0,5.0,95000,Suspension Repair,"Mahindra Scorpio. 95,000 km. Suspension overhaul. Replaced shock absorbers."
Renault Duster,2020.0,5.0,85000,Timing Belt Replacement,"Renault Duster. 85,000 km. Timing belt and water pump replaced."
VW Vento,2020.0,5.0,75000,Transmission Service,"VW Vento. 75,000 km. DSG service done. Replaced transmission fluid."
Toyota Yaris,2020.0,5.0,40000,Oil Change,"Toyota Yaris. 40,000 km service. Standard oil change, filters replaced."
Kia Carnival,2020.0,5.0,30000,Checkup,"Kia Carnival. 30,000 km. Routine service."
Ford Aspire,2020.0,5.0,60000,Brake Replacement,"Ford Aspire. 60,000 km. Replaced front brake pads and rear brake shoes."
Hyundai Aura,2020.0,5.0,20000,Oil Change,"Hyundai Aura. 20,000 km. Free service. Oil change."
Maruti S-Presso,2020.0,5.0,10000,Checkup,"Maruti S-Presso. 10,000 km. First service."
Tata Tiago,2020.0,5.0,35000,AC Service,"Tata Tiago. 35,000 km. AC not working. Compressor issue. Replaced compressor."
Honda Civic,2020.0,5.0,100000,Timing Belt Replacement,"Honda Civic. 100,000 km. Major service. Replaced timing belt, spark plugs, and transmission oil."
Mahindra Bolero,2020.0,5.0,120000,Checkup,"Mahindra Bolero. 120,000 km. General service. Topped up all fluids."
Renault Kiger,2020.0,5.0,15000,Oil Change,"Renault Kiger. 15,000 km. Oil service."
VW Virtus,2020.0,5.0,10000,Checkup,"VW Virtus. 10,000 km. First checkup."
Toyota Camry,2020.0,5.0,50000,Checkup,"Toyota Camry. 50,000 km service. Standard procedure."
Kia Carens,2020.0,5.0,20000,Checkup,"Kia Carens. 20,000 km. Second service."
Ford Freestyle,2020.0,5.0,50000,Tire Replacement,"Ford Freestyle. 50,000 km. Replaced tires and battery."
Hyundai Grand i10,2020.0,5.0,45000,Clutch Replacement,"Hyundai Grand i10. 45,000 km. Replaced clutch plate."
Maruti Ertiga,2020.0,5.0,70000,Brake Replacement,"Maruti Ertiga. 70,000 km service. Replaced brake pads."
Tata Nexon EV,2020.0,5.0,30000,Checkup,"Tata Nexon EV. 30,000 km. General checkup. No oil change needed."
Honda City Hybrid,2020.0,5.0,20000,Checkup,"Honda City Hybrid. 20,000 km. Service done."
Mahindra XUV700,2020.0,5.0,15000,Checkup,"Mahindra XUV700. 15,000 km. First major service."
Renault Triber,2020.0,5.0,25000,Checkup,"Renault Triber. 25,000 km. Service and wash."
VW Tiguan,2020.0,5.0,40000,Oil Change,"VW Tiguan. 40,000 km. Oil change and filter replacement."
Toyota Hilux,2020.0,5.0,10000,Checkup,"Toyota Hilux. 10,000 km. Checkup after heavy use."
Kia EV6,2020.0,5.0,15000,Tire Rotation,"Kia EV6. 15,000 km. Tire rotation and checkup."
Ford Endeavour,2020.0,5.0,80000,Checkup,"Ford Endeavour. 80,000 km. Major service."
Hyundai Kona Electric,2020.0,5.0,25000,Brake Service,"Hyundai Kona Electric. 25,000 km. Brake fluid change."
Maruti Grand Vitara,2020.0,5.0,10000,Checkup,"Maruti Grand Vitara. 10,000 km. First service."
Tata Safari,2020.0,5.0,20000,Oil Change,"Tata Safari. 20,000 km. Oil change."
Honda CR-V,2020.0,5.0,90000,Suspension Repair,"Honda CR-V. 90,000 km. Suspension check. Replaced bushes."
Mahindra KUV100,2020.0,5.0,50000,Checkup,"Mahindra KUV100. 50,000 km. General service."
Renault Captur,2020.0,5.0,40000,Brake Replacement,"Renault Captur. 40,000 km. Brake pad replacement."
VW Passat,2020.0,5.0,100000,Timing Belt Replacement,"VW Passat. 100,000 km. Timing belt changed."
Toyota Vellfire,2020.0,5.0,30000,Checkup,"Toyota Vellfire. 30,000 km. Service."
Kia Seltos,2020.0,5.0,60000,Checkup,"Kia Seltos. 60,000 km. Major service. All filters and fluids changed."
Ford Mustang,2020.0,5.0,20000,Oil Change,"Ford Mustang. 20,000 km. Oil change."
Hyundai Verna,2020.0,5.0,55000,Clutch Replacement,"Hyundai Verna. 55,000 km. Clutch overhaul."
Maruti Ignis,2020.0,5.0,35000,Checkup,"Maruti Ignis. 35,000 km. Standard service."
Tata Harrier,2020.0,5.0,40000,Oil Change,"Tata Harrier. 40,000 km. Oil service."
Honda Accord,2020.0,5.0,110000,Transmission Service,"Honda Accord. 110,000 km. Transmission service."
Mahindra Marazzo,2020.0,5.0,60000,Brake Service,"Mahindra Marazzo. 60,000 km. Brake service."
Renault Lodgy,2020.0,5.0,70000,Timing Belt Replacement,"Renault Lodgy. 70,000 km. Timing belt replacement."
VW Ameo,2020.0,5.0,50000,Spark Plug Replacement,"VW Ameo. 50,000 km. Spark plug change."
Toyota Corolla Altis,2020.0,5.0,80000,Suspension Repair,"Toyota Corolla Altis. 80,000 km. Suspension work."
Kia Rio,2020.0,5.0,30000,Checkup,"Kia Rio. (Import). 30,000 km. General checkup."
Ford Fiesta,2020.0,5.0,90000,Clutch Replacement,"Ford Fiesta. 90,000 km. Clutch plate replaced."
Hyundai Elantra,2020.0,5.0,70000,Brake Replacement,"Hyundai Elantra. 70,000 km. Brake pad change."
Maruti XL6,2020.0,5.0,25000,Checkup,"Maruti XL6. 25,000 km. Service."
Tata Tigor,2020.0,5.0,30000,AC Service,"Tata Tigor. 30,000 km. AC check."
Honda BR-V,2020.0,5.0,60000,Checkup,"Honda BR-V. 60,000 km. Major service."
Mahindra TUV300,2020.0,5.0,70000,Checkup,"Mahindra TUV300. 70,000 km. General service."
Renault Scala,2020.0,5.0,50000,Battery Replacement,"Renault Scala. 50,000 km. Battery replaced."
VW Jetta,2020.0,5.0,90000,Timing Belt Replacement,"VW Jetta. 90,000 km. Timing belt service."
Toyota Prius,2020.0,5.0,60000,Checkup,"Toyota Prius. 60,000 km. Hybrid system check."
Kia Stinger,2020.0,5.0,15000,Oil Change,"Kia Stinger. (Import). 15,000 km. Oil change."
Ford Figo Aspire,2020.0,5.0,40000,Brake Service,"Ford Figo Aspire. 40,000 km. Brake service."
Hyundai Santro,2020.0,5.0,30000,Checkup,"Hyundai Santro. 30,000 km. Service."
Maruti Wagon R,2020.0,5.0,50000,Clutch Repair,"Maruti Wagon R. 50,000 km. Clutch work."
Tata Indica,2020.0,5.0,100000,Oil Leak Repair,"Tata Indica. 100,000 km. Engine oil leak fixed."
Honda Mobilio,2020.0,5.0,70000,Suspension Repair,"Honda Mobilio. 70,000 km. Suspension noise fixed."
Mahindra Quanto,2020.0,5.0,80000,Checkup,"Mahindra Quanto. 80,000 km. General service."
Renault Pulse,2020.0,5.0,40000,Brake Replacement,"Renault Pulse. 40,000 km. Brake pad change."
VW Beetle,2020.0,5.0,30000,Checkup,"VW Beetle. 30,000 km. Service."
Toyota Etios,2020.0,5.0,90000,Clutch Replacement,"Toyota Etios. 90,000 km. Clutch replacement."
Kia Picanto,2020.0,5.0,20000,Checkup,"Kia Picanto. (Import). 20,000 km. Checkup."
Ford Fusion,2020.0,5.0,100000,Checkup,"Ford Fusion. 100,000 km. Major service."
Hyundai Eon,2020.0,5.0,40000,Checkup,"Hyundai Eon. 40,000 km. Service."
Maruti Alto,2020.0,5.0,60000,Clutch Replacement,"Maruti Alto. 60,000 km. Clutch plate change."
Tata Nano,2020.0,5.0,30000,AC Service,"Tata Nano. 30,000 km. AC service."
Honda Brio,2020.0,5.0,50000,Brake Service,"Honda Brio. 50,000 km. Brake service."
Mahindra Verito,2020.0,5.0,90000,Checkup,"Mahindra Verito. 90,000 km. General service."
Renault Fluence,2020.0,5.0,80000,Timing Belt Replacement,"Renault Fluence. 80,000 km. Timing belt."
VW Phaeton,2020.0,5.0,50000,Checkup,"VW Phaeton. (Import). 50,000 km. Service."
Toyota Liva,2020.0,5.0,70000,Clutch Repair,"Toyota Liva. 70,000 km. Clutch work."
Kia Soul,2020.0,5.0,25000,Checkup,"Kia Soul. (Import). 25,000 km. Checkup."
Ford Ikon,2020.0,5.0,120000,Checkup,"Ford Ikon. 120,000 km. Service."
Hyundai Accent,2020.0,5.0,100000,Clutch Replacement,"Hyundai Accent. 100,000 km. Clutch replacement."
Maruti Zen,2020.0,5.0,80000,Engine Cleaning,"Maruti Zen. 80,000 km. Carburetor cleaning."
Tata Sierra,2020.0,5.0,150000,Checkup,"Tata Sierra. 150,000 km. General checkup."
Honda Prelude,2020.0,5.0,60000,Checkup,"Honda Prelude. (Import). 60,000 km. Service."
Mahindra Armada,2020.0,5.0,165000,Engine Repair,"Mahindra Armada. 200,000 km. Engine work."
Renault Logan,2020.0,5.0,100000,Timing Belt Replacement,"Renault Logan. 100,000 km. Timing belt change."
VW Touareg,2020.0,5.0,80000,Suspension Repair,"VW Touareg. 80,000 km. Suspension service."
Toyota Qualis,2020.0,5.0,165000,Oil Change,"Toyota Qualis. 300,000 km. Still running fine. Oil change."
Kia Mohave,2020.0,5.0,40000,Checkup,"Kia Mohave. (Import). 40,000 km. Service."
Maruti Swift,2020.0,5.0,41000,Brake Replacement,"Routine check for a 2019 Maruti Swift. Mileage around 41,000 kms. Brake pads look thin. Advised replacement, customer approved. Front pads replaced."
Hyundai i20 Elite,2020.0,5.0,58300,Spark Plug Replacement,"Hyundai i20 Elite with engine misfire issue. Odo: 58,300 km. Found faulty spark plugs. Replaced all four."
Tata Nexon,2020.0,5.0,65000,Wheel Alignment,"Tata Nexon. 65,000 km. Customer reported wheel vibration at high speed. Performed wheel balancing and alignment. Problem solved."
Honda Amaze,2020.0,5.0,29800,Oil Change,"2020 Honda Amaze. 3rd service at 29,800km. Engine oil and filter replaced. Also changed cabin filter upon request."
Kia Seltos,2020.0,5.0,50000,Filter Replacement,"Kia Seltos diesel. 50,000 km service. Replaced engine oil, oil filter, air filter, and diesel filter."
Ford Figo,2020.0,5.0,62000,Battery Replacement,"Ford Figo, 6 years old. Car not starting. Battery issue. Replaced with new Exide battery. Mileage noted at 62,000 km."
Toyota Innova Crysta,2020.0,5.0,100000,Timing Belt Replacement,"Toyota Innova Crysta for its 100,000 km service. Replaced timing belt, water pump, and all fluids as per manual. Major service."
Skoda Superb,2020.0,5.0,85210,Coolant Leak Repair,"Skoda Superb owner reported warning light. Found coolant level low. Topped up coolant and checked for leaks. Minor hose leak found and fixed. Odo reading: 85,210 km."
Mahindra XUV300,2020.0,5.0,40000,Wiper Blade Replacement,"Mahindra XUV300. 40,000 km. General service. Also replaced front wiper blades."
VW Vento,2020.0,5.0,90000,Engine Cleaning,"VW Vento TDI. 90,000 km. Customer complaint of black smoke. Cleaned EGR valve and intake manifold. Significant carbon buildup found."
Maruti Ertiga,2020.0,5.0,20000,Oil Change,"2022 Maruti Ertiga CNG. 20,000km service. Changed engine oil and filter. Checked CNG filter, it was clean."
Hyundai Grand i10,2020.0,5.0,55400,Clutch Check,"Hyundai Grand i10. 55,400 kms. Clutch is slipping. Needs replacement. Customer will come back next week."
Tata Altroz,2020.0,5.0,25000,Body Repair,"Tata Altroz. 25,000 km. Customer complained of rattling from doors. Tightened door panels and applied lubrication."
Honda Jazz,2020.0,5.0,75000,Suspension Check,"Honda Jazz. 75,000 km. Suspension feels soft. Checked shock absorbers. They are weak. Advised replacement."
Renault Kwid,2020.0,5.0,30000,Wheel Alignment,"Renault Kwid. 30,000 km service. Changed oil. Also noted tires are wearing unevenly. Recommended alignment."
Toyota Fortuner,2020.0,5.0,125000,Oil Change,"Toyota Fortuner 4x4. 125,000 km. Changed differential oil along with engine oil. General checkup."
Jeep Compass,2020.0,5.0,60000,Brake Service,"Jeep Compass. 60,000km service. Replaced all filters, engine oil, and brake fluid. Also rotated tires."
Nissan Kicks,2020.0,5.0,45000,AC Service,"Nissan Kicks. 45,000 km. AC performance was low. Cleaned condenser and evaporator coils."
MG Astor,2020.0,5.0,14800,Oil Change,"2021 MG Astor. First service. 14,800 km. Oil change and software update."
Skoda Slavia,2020.0,5.0,20000,Checkup,"Skoda Slavia. 20,000 km. Routine checkup and wash."
Maruti Baleno RS,2020.0,5.0,50000,Brake Replacement,"Maruti Baleno RS. 50,000 km. Replaced front brake pads. Used performance pads as requested by customer."
Hyundai i20 N Line,2020.0,5.0,15000,Oil Change,"Hyundai i20 N Line. 15,000 km. First paid service. Oil change and inspection."
Tata Punch,2020.0,5.0,18000,Body Repair,"Tata Punch. 18,000 km. Minor running repair. Fixed loose bumper."
Honda City,2020.0,5.0,40000,Transmission Service,"Honda City 5th Gen. 40,000 km. Replaced transmission fluid (CVT oil). Important for CVT life."
Mahindra Thar,2020.0,5.0,35000,Checkup,"Mahindra Thar 2021. 35,000 km. Checkup after Ladakh trip. Found minor underbody scrapes. No major damage. All fluids checked."
VW Taigun,2020.0,5.0,30000,Spark Plug Replacement,"VW Taigun 1.5 TSI. 30,000 km service. Replaced spark plugs, oil, and filters."
Toyota Urban Cruiser,2020.0,5.0,25000,Checkup,"Toyota Urban Cruiser. 25,000 km. General service. Same as Baleno."
Kia Sonet,2020.0,5.0,40000,Filter Replacement,"Kia Sonet diesel. 40,000 km. Replaced diesel filter. Clogged."
Ford Ecosport,2020.0,5.0,80000,Timing Belt Replacement,"Ford Ecosport. 80,000 km service. Changed timing belt and tensioner."
Hyundai Alcazar,2020.0,5.0,30000,Checkup,"Hyundai Alcazar Petrol. 30,000 km. Standard service. No issues."
Maruti Ciaz,2020.0,5.0,90000,Suspension Repair,"Maruti Ciaz. 90,000 km. Suspension work. Replaced front struts."
Tata Safari,2020.0,5.0,30000,Checkup,"Tata Safari 2022. 30,000 km. AdBlue top-up required. Performed service."
Honda Accord Hybrid,2020.0,5.0,70000,Checkup,"Honda Accord Hybrid. 70,000 km. Check hybrid battery health. All good. General service."
Mahindra Bolero Neo,2020.0,5.0,20000,Checkup,"Mahindra Bolero Neo. 20,000 km. Service and checkup."
Renault Duster,2020.0,5.0,95000,Clutch Replacement,"Renault Duster AWD. 95,000 km. Replaced clutch and pressure plate. Also changed AWD fluid."
VW Polo GT,2020.0,5.0,80000,Engine Cleaning,"VW Polo GT. 80,000 km. Carbon cleaning for engine valves."
Toyota Hilux,2020.0,5.0,25000,Oil Change,"Toyota Hilux. 25,000 km. Customer uses it on a farm. Very dirty. Cleaned air filter thoroughly. Oil changed."
Kia Carnival,2020.0,5.0,40000,Filter Replacement,"Kia Carnival. 40,000 km. Replaced cabin filter. Customer complained of bad smell from AC."
Ford Freestyle,2020.0,5.0,65000,Brake Replacement,"Ford Freestyle. 65,000 km. Replaced front brake rotors and pads. Rotors were warped."
Hyundai Aura,2020.0,5.0,40000,Filter Replacement,"Hyundai Aura CNG. 40,000 km. CNG filter and spark plug replacement."
Maruti S-Presso,2020.0,5.0,20000,Oil Change,"Maruti S-Presso. 20,000 km. Second service. Oil change."
Tata Tiago,2020.0,5.0,50000,Coolant Replacement,"Tata Tiago. 50,000 km service. Replaced coolant."
Honda CR-V,2020.0,5.0,105000,Fluid Top-up,"Honda CR-V. 105,000 km. Power steering fluid was low. Topped up."
Mahindra KUV100,2020.0,5.0,60000,Checkup,"Mahindra KUV100. 60,000 km. General service. Washed."
Renault Kiger,2020.0,5.0,20000,Oil Change,"Renault Kiger Turbo. 20,000 km. Oil service."
VW Virtus GT,2020.0,5.0,15000,Checkup,"VW Virtus GT. 15,000 km. Checkup. No issues."
Toyota Camry Hybrid,2020.0,5.0,60000,Brake Service,"Toyota Camry Hybrid. 60,000 km. Hybrid system check. All cells balanced. Brake fluid replaced."
Kia EV6,2020.0,5.0,20000,Tire Rotation,"Kia EV6. 20,000 km. Tire rotation and brake check. Pads have minimal wear."
Ford Endeavour,2020.0,5.0,100000,Transmission Service,"Ford Endeavour 3.2. 100,000 km. Major service. Changed transmission fluid, differential oil, and all filters."
Hyundai Kona Electric,2020.0,5.0,35000,Fluid Top-up,"Hyundai Kona Electric. 35,000 km. Coolant for battery system was low. Topped up."
Maruti Grand Vitara,2020.0,5.0,15000,Checkup,"Maruti Grand Vitara Hybrid. 15,000 km. Service done."
Tata Nexon EV Max,2020.0,5.0,25000,Software Update,"Tata Nexon EV Max. 25,000 km. General checkup. Updated software."
Honda City,2020.0,5.0,85000,Suspension Repair,"Honda City 4th Gen. 85,000 km. Suspension overhaul. Replaced all 4 shock absorbers."
Mahindra XUV700,2020.0,5.0,25000,Checkup,"Mahindra XUV700 AWD. 25,000 km. Service."
Renault Triber,2020.0,5.0,40000,Spark Plug Replacement,"Renault Triber. 40,000 km. Replaced spark plugs."
VW Tiguan Allspace,2020.0,5.0,50000,Checkup,"VW Tiguan Allspace. 50,000 km. Service."
Toyota Fortuner,2020.0,5.0,150000,Engine Cleaning,"Toyota Fortuner. 150,000 km. Injector cleaning performed."
Kia Seltos,2020.0,5.0,75000,Checkup,"Kia Seltos. 75,000 km. Turbo inspection. All ok."
Ford Mustang GT,2020.0,5.0,30000,Tire Replacement,"Ford Mustang GT. 30,000 km. Replaced rear tires. Customer does burnouts."
Hyundai Verna,2020.0,5.0,90000,Checkup,"Hyundai Verna Diesel. 90,000 km. Timing chain inspected. No noise. Good for now."
Maruti Ignis,2020.0,5.0,45000,Wheel Alignment,"Maruti Ignis. 45,000 km. Wheel alignment done."
Tata Harrier,2020.0,5.0,60000,Checkup,"Tata Harrier. 60,000 km. Major service."
Honda Civic,2020.0,5.0,50000,Transmission Service,"Honda Civic 10th Gen. 50,000 km. CVT fluid change."
Mahindra Marazzo,2020.0,5.0,70000,Brake Replacement,"Mahindra Marazzo. 70,000 km. Replaced brake pads."
Renault Lodgy,2020.0,5.0,80000,Timing Belt Replacement,"Renault Lodgy. 80,000 km. Timing belt changed. Water pump also."
VW Ameo,2020.0,5.0,60000,Engine Cleaning,"VW Ameo Diesel. 60,000 km. EGR cleaning."
Toyota Corolla,2020.0,5.0,120000,Suspension Repair,"Toyota Corolla. 120,000 km. Replaced all 4 struts."
Ford Fiesta Classic,2020.0,5.0,110000,Checkup,"Ford Fiesta Classic. 110,000 km. General service."
Hyundai Elantra,2020.0,5.0,80000,Engine Cleaning,"Hyundai Elantra Petrol. 80,000 km. Throttle body cleaning."
Maruti XL6,2020.0,5.0,40000,Tire Rotation,"Maruti XL6. 40,000 km. Service and tire rotation."
Tata Tigor EV,2020.0,5.0,20000,Checkup,"Tata Tigor EV. 20,000 km. Checkup."
Honda BR-V,2020.0,5.0,70000,Battery Replacement,"Honda BR-V. 70,000 km. Replaced battery."
Mahindra TUV300 Plus,2020.0,5.0,80000,Checkup,"Mahindra TUV300 Plus. 80,000 km. Service."
Renault Scala,2020.0,5.0,60000,Transmission Service,"Renault Scala. 60,000 km. CVT oil change."
VW Jetta,2020.0,5.0,110000,DPF Service,"VW Jetta Diesel. 110,000 km. DPF manually regenerated."
Toyota Prius,2020.0,5.0,80000,Coolant Replacement,"Toyota Prius. 80,000 km. Hybrid coolant changed."
Ford Figo Aspire,2020.0,5.0,55000,Clutch Repair,"Ford Figo Aspire. 55,000 km. Clutch feels spongy. Bled clutch line."
Hyundai Santro Xing,2020.0,5.0,70000,Checkup,"Hyundai Santro Xing. 70,000 km. Service."
Maruti Wagon R,2020.0,5.0,80000,CNG Service,"Maruti Wagon R CNG. 80,000 km. CNG servicing done."
Tata Indica Vista,2020.0,5.0,110000,Engine Repair,"Tata Indica Vista. 110,000 km. Head gasket work."
Honda Mobilio,2020.0,5.0,85000,Suspension Repair,"Honda Mobilio. 85,000 km. Replaced front lower arms."
Mahindra Quanto,2020.0,5.0,90000,Checkup,"Mahindra Quanto. 90,000 km. General service. Nothing major."
Renault Pulse,2020.0,5.0,50000,Brake Replacement,"Renault Pulse. 50,000 km. Replaced brake pads."
VW Beetle,2020.0,5.0,40000,Checkup,"VW Beetle. 40,000 km. Service. Customer requested premium oil."
